"","employees","salaries_2017","adjustments","salaries_2018","increased_salaries"
"47","Employee 47",48211.3374909386,2183.34742123261,50394.6849121712,TRUE
"48","Employee 48",41224.6312038042,1957.06475758925,43181.6959613934,TRUE
"49","Employee 49",46225.8767266758,8822.09129398689,55047.9680206627,TRUE
"50","Employee 50",43505.0772409886,9897.81325682998,53402.8904978186,TRUE
"51","Employee 51",48195.5266557634,-1398.75703374855,46796.7696220148,FALSE
"52","Employee 52",41147.5043534301,2005.77044626698,43153.2747996971,TRUE
"53","Employee 53",40246.0368024185,771.452998742461,41017.489801161,TRUE
"54","Employee 54",40042.6422338933,9878.42998700216,49921.0722208954,TRUE
"55","Employee 55",48885.2123706602,5792.41964034736,54677.6320110075,TRUE
"56","Employee 56",45969.0812602639,2697.68633064814,48666.7675909121,TRUE
"57","Employee 57",44741.2003576756,-3323.98581900634,41417.2145386692,FALSE
"58","Employee 58",48936.5664427169,787.929494399577,49724.4959371164,TRUE
"59","Employee 59",42149.1219708696,-951.593581121415,41197.5283897482,FALSE
"60","Employee 60",41423.1064030901,-1982.24423802458,39440.8621650655,FALSE
"61","Employee 61",40354.4944175519,-473.657923284918,39880.836494267,FALSE
"62","Employee 62",48011.9724851102,8895.3460927587,56907.3185778689,TRUE
"63","Employee 63",46326.7504819669,-578.005769057199,45748.7447129097,FALSE
"64","Employee 64",47665.6743884087,-3815.05350233056,43850.6208860781,FALSE
"65","Employee 65",49921.3157920167,8285.24941578507,58206.5652078018,TRUE
"66","Employee 66",45658.7668671273,3650.6115575321,49309.3784246594,TRUE
"67","Employee 67",49805.991135072,3473.73931203038,53279.7304471023,TRUE
"68","Employee 68",40223.3226248063,-1593.34101947024,38629.9816053361,FALSE
"69","Employee 69",40496.6173460707,-2934.26155112684,37562.3557949439,FALSE
"70","Employee 70",40790.4901262373,-3664.44074665196,37126.0493795853,FALSE
"71","Employee 71",49714.1177672893,4387.57398631424,54101.6917536035,TRUE
"72","Employee 72",48726.9140733406,615.920862182975,49342.8349355236,TRUE
"73","Employee 73",44260.4425805621,-3703.39348679408,40557.049093768,FALSE
"74","Employee 74",43550.2163250931,-2070.74579549953,41479.4705295935,FALSE
"75","Employee 75",46366.009360645,-386.921727331355,45979.0876333136,FALSE
"76","Employee 76",42310.3638901375,-4230.0661187619,38080.2977713756,FALSE
"77","Employee 77",45854.6202769503,-4307.35432077199,41547.2659561783,FALSE
"78","Employee 78",45735.7640494592,8461.59929409623,54197.3633435555,TRUE
"79","Employee 79",41518.3319221251,1078.83011805825,42597.1620401833,TRUE
"80","Employee 80",42185.2859575301,2562.66168667935,44747.9476442095,TRUE
"81","Employee 81",47234.743249137,-4372.38497775979,42862.3582713772,FALSE
"82","Employee 82",46035.5221573263,-3342.56658446975,42692.9555728566,FALSE
"83","Employee 83",48325.5114033818,7567.36454786733,55892.8759512492,TRUE
"84","Employee 84",43911.7895206437,8024.23155866563,51936.0210793093,TRUE
"85","Employee 85",45947.7650653571,1284.94576900266,47232.7108343598,TRUE
"86","Employee 86",49035.00107117,-3983.21892716922,45051.7821440008,FALSE
"87","Employee 87",42036.1717813648,-2150.2330142539,39885.9387671109,FALSE
"88","Employee 88",43642.0609848574,3758.10741563328,47400.1684004907,TRUE
"89","Employee 89",45244.9475624599,-3494.86247869208,41750.0850837678,FALSE
"90","Employee 90",46744.8443896137,6685.47852779739,53430.3229174111,TRUE
"91","Employee 91",43204.288687557,-3925.40289205499,39278.885795502,FALSE
"92","Employee 92",45941.1402232945,-630.709782708436,45310.4304405861,FALSE
"93","Employee 93",47357.4152961373,8608.98987506516,55966.4051712025,TRUE
"94","Employee 94",47966.5519692935,1626.41089060344,49592.9628598969,TRUE
"95","Employee 95",44787.4197689816,5446.81237079203,50234.2321397737,TRUE
"96","Employee 96",40294.7673830204,330.912311328575,40625.6796943489,TRUE
"97","Employee 97",46215.153215453,4213.71168573387,50428.8649011869,TRUE
"98","Employee 98",41557.6771646738,6123.06934781373,47680.7465124875,TRUE
"99","Employee 99",41919.4942503236,9616.87700822949,51536.3712585531,TRUE
"100","Employee 100",46166.1320924759,193.220772780478,46359.3528652564,TRUE
